task_id,our_score,our_agent_usd,our_tools,our_msgs,nexus_q,pub_score,pub_agent_usd,pub_tools,pub_msgs,our_user_usd,pub_user_usd
task_028,0,0.437443,25,68,4,1,1.949078,49,101,0.043555,0.05309
task_029,0,0.331144,17,46,4,0,2.266422,61,108,0.024506,0.039437
task_031,1,0.233012,19,45,7,1,0.441616,15,35,0.01662,0.014012
task_032,1,0.066176,7,28,2,0,0.15248,5,18,0.015194,0.011055
task_033,0,0.074568,4,18,3,0,0.57559,18,34,0.012087,0.013015
task_034,1,0.038809,4,14,2,1,0.120051,7,22,0.006733,0.01374
task_035,1,0.025967,5,14,2,1,0.093449,6,16,0.004421,0.005805
task_036,1,0.17518,12,36,3,1,0.311405,11,36,0.017905,0.01549
task_037,0,0.255113,18,48,5,0,1.101726,34,72,0.018632,0.023319
task_038,0,0.257724,12,39,6,0,0.625003,27,58,0.035158,0.031163
task_039,0,0.435972,22,53,7,0,0.843045,27,61,0.033031,0.061506
task_040,0,0.476347,21,46,7,0,0.975431,31,60,0.036776,0.045555
task_041,0,0.268747,13,38,4,0,1.533297,56,95,0.032695,0.069661
task_043,1,0.244378,24,47,4,1,0.705134,29,59,0.011468,0.009932
task_044,1,0.175009,20,48,6,0,1.29747,39,75,0.015748,0.024024
task_045,0,0.161042,16,40,4,0,1.321373,39,87,0.010331,0.016299
task_046,0,0.206258,28,57,7,0,0.889749,24,53,0.012242,0.010462
task_047,0,0.277903,31,69,9,1,0.977128,38,85,0.023945,0.025939
task_048,0,0.431132,48,103,14,0,0.59348,38,82,0.029913,0.022171
task_049,0,0.358492,47,99,13,0,0.850637,39,90,0.021983,0.026378
task_050,1,0.13595,22,41,5,1,1.442833,43,75,0.006806,0.00692
task_051,0,0.263268,31,66,7,1,1.001567,40,77,0.014038,0.012889
task_052,1,0.273739,29,71,12,0,2.764134,70,124,0.028291,0.040314
task_053,0,0.174614,11,24,5,0,1.153668,52,81,0.01194,0.018013
task_054,0,0.162682,15,39,4,0,1.020996,32,62,0.024237,0.021824
task_055,0,0.287291,20,55,9,0,2.299692,56,109,0.028121,0.044287
task_056,0,0.326842,21,57,10,0,2.439678,81,158,0.037287,0.060115
task_057,1,0.360306,21,61,9,0,1.784886,47,114,0.029957,0.049987
task_058,1,0.191907,14,34,6,0,1.920658,120,157,0.013758,0.018022
task_059,1,0.143216,13,33,5,0,4.15787,88,151,0.019182,0.020144
task_060,0,0.456392,25,60,14,0,0.703742,26,46,0.022961,0.014885
task_061,0,0.191123,19,45,5,0,0.381482,23,48,0.01943,0.027368
task_062,0,0.394303,28,59,7,0,2.212335,57,109,0.028743,0.045336
task_063,0,0.239276,11,25,11,0,3.028878,81,147,0.018195,0.079971
task_064,0,0.245139,17,37,9,0,4.796267,90,144,0.020654,0.035942
task_065,0,0.275141,21,48,10,0,1.117826,39,63,0.027765,0.015733
task_066,0,0.290487,20,42,5,0,4.900161,83,144,0.026266,0.043389
task_067,0,0.58768,36,75,17,0,2.076614,63,102,0.034937,0.045465
task_068,0,0.657829,37,71,20,0,3.492201,94,146,0.027153,0.03438
task_069,0,0.559393,28,59,12,0,2.318394,74,108,0.036901,0.037819
task_070,0,0.221597,18,45,11,0,1.513486,52,102,0.020749,0.023575
task_071,0,0.188905,15,36,5,0,2.89223,114,217,0.027705,0.013358
task_072,1,0.229341,16,43,5,1,0.570678,20,45,0.018788,0.016745
task_073,1,0.397052,19,46,6,0,2.076123,58,116,0.017169,0.021184
task_074,0,0.393686,21,48,4,0,1.949466,47,87,0.015578,0.022288
task_075,0,0.304844,16,44,9,0,1.435992,50,103,0.015357,0.019911
task_076,1,0.22919,16,38,9,0,0.673219,22,49,0.014906,0.014781
task_077,0,0.34021,31,62,8,0,1.811806,61,107,0.016477,0.035338
task_078,0,0.338893,34,68,7,0,3.021641,61,120,0.021192,0.032332
task_079,0,0.077701,4,14,4,0,1.174296,51,84,0.01,0.018877
task_080,0,0.40719,37,70,10,0,2.40266,72,124,0.023092,0.034322
task_081,0,0.02352,3,10,1,0,0.170088,9,19,0.00766,0.007757
task_082,0,0.769319,35,70,9,0,2.803238,57,98,0.030078,0.024467
task_083,0,0.568582,31,62,11,0,0.933423,32,62,0.024449,0.026806
task_084,0,0.719546,34,63,14,0,1.609443,44,84,0.032146,0.031124
task_085,0,0.613955,26,70,8,0,1.389642,32,81,0.024589,0.049865
task_086,0,0.827958,35,66,7,0,2.043806,41,88,0.032107,0.04094
task_087,0,0.329772,34,68,10,0,1.230922,39,84,0.022439,0.025291
task_088,0,0.679583,34,83,12,0,1.955975,42,97,0.037395,0.051312
task_089,0,0.139023,15,35,5,1,0.914085,30,68,0.012679,0.025338
task_090,1,0.486331,27,63,8,0,3.252047,78,160,0.022105,0.035502
task_091,0,0.392465,27,56,8,0,2.023909,42,92,0.019431,0.020692
task_092,0,0.402377,22,56,7,0,3.674295,61,124,0.031386,0.021473
task_093,0,0.388274,17,45,6,0,1.584102,44,87,0.013179,0.021692
task_094,1,0.250416,16,35,5,0,3.703004,92,157,0.008216,0.03352
task_095,0,0.44229,22,53,11,0,1.639329,36,75,0.014264,0.022163
task_096,0,0.869201,32,79,17,0,2.900291,71,126,0.040157,0.056725
task_097,0,0.883716,27,53,7,1,2.229667,64,98,0.024384,0.016746
task_098,1,0.153994,9,29,4,0,1.672071,52,97,0.020323,0.051442
task_099,0,0.014,2,8,1,0,1.09729,32,67,0.008361,0.011899
task_100,0,0.048818,4,14,2,0,1.147256,34,58,0.011514,0.016635
task_101,0,0.387011,12,35,3,0,1.517181,37,70,0.041451,0.027157
task_102,0,0.210702,7,26,2,0,0.956466,25,53,0.028831,0.03342
